Tarih(yil_ay);Saat;YukTahminPlan(MWh);PTF(TL/MWh);SMF(TL/MWh);KGUP(MWh);YAL0(MWh);YAL1(MWh);YAT0(MWh);YAT1(MWh);YAL TeslimEdilemeyenMiktar(MWh);YAT TeslimEdilemeyenMiktar(MWh);PFK Fiyat;SFK Fiyat;Column1
201802;6;27300;14495;12000;2400434;0;0;275000;0;0;0;5490;9804;
201802;7;27400;12999;11300;2410793;0;0;206282;0;0;20583;5490;9804;
201802;8;27300;12999;10500;2425505;0;0;933100;0;0;92888;4990;8717;
201802;9;28600;12501;11300;2550684;0;0;763651;0;0;5685;4990;8717;
201802;10;29700;20099;17053;2679183;0;0;583584;0;0;8446;4990;8717;
201802;11;30400;20580;17553;2764311;0;0;602599;0;0;130;4990;8717;
201802;12;30400;12500;12500;2716652;0;0;38499;0;0;;5990;8000;
201802;13;30700;12500;13526;2720432;557567;0;0;0;194440;0;5990;8000;
201802;14;30100;9894;11900;2678685;821634;0;0;0;99557;0;5990;8000;
201802;15;30400;2999;7999;2678331;1126334;0;0;0;143878;0;5990;8000;
201802;16;31100;6501;8500;2722797;495967;0;0;0;15187;0;5990;7380;
201802;17;32200;12999;11300;2851363;141066;0;547250;0;75566;4800;5990;7380;
201802;18;34500;21538;18453;3059874;0;0;468000;0;0;9000;5990;7380;
201802;19;34800;21802;16000;3119913;0;0;1215717;0;0;231612;5990;7380;
201802;20;34300;21705;12500;3063407;0;0;1810999;0;0;313945;5490;8008;
201802;21;33600;21662;12201;2992895;0;0;1840400;0;0;240518;5490;8008;
201802;22;33500;21559;15669;2935824;0;0;1158000;0;0;150080;5490;8008;
201802;23;32500;18500;16000;2839760;0;0;164332;0;0;5000;5490;8008;
201802;0;31000;18498;12601;2784109;0;0;1135210;0;0;116310;5490;6667;
201802;1;29400;17898;12601;2583507;0;0;1123017;0;0;389653;5490;6667;
201802;2;28100;17899;12611;2498772;71500;0;633400;0;11;81910;5490;6667;
201802;3;27600;16199;11300;2437558;0;0;1161400;0;0;235210;5490;6667;
201802;4;27300;16891;11400;2414227;0;0;1075000;0;0;170430;5490;6698;
201802;5;27700;17898;12000;2432975;0;0;1072548;0;0;176743;5490;6698;
201802;6;28900;18498;12601;2512016;0;0;1047700;0;0;82766;5490;6698;
201802;7;32700;16911;16911;2747521;698686;0;519099;0;157262;263709;5490;6698;
201802;8;37600;17499;18388;3229971;595250;0;242550;0;96310;137;5515;5898;
201802;9;40700;21657;23000;3519554;989000;0;42467;0;232226;1000;5515;5898;
201802;10;41400;21637;22826;3573715;1030000;0;75000;0;265890;0;5515;5898;
201802;11;41700;21638;22638;3622722;862850;0;98700;0;244390;1628;5515;5898;
201802;12;39900;17721;15000;3463969;0;0;577349;0;0;157257;5890;4690;
